"s", 5, 128, 3, 100, 11, "24/07/2019 12:23:07", 1563963787.91, 1.0, 18340, 18457, 18398, 0.6702290076335878, 0.654169149916021, 0.6617567126861615
"q", 5, 32, 3, 100, 9, "24/07/2019 12:23:14", 1563963794.92, 1.0, 18340, 18457, 18398, 0.7696292257360959, 0.7505553448556104, 0.7541037069246658
"t", 5, 256, 3, 100, 12, "24/07/2019 12:23:59", 1563963839.32, 1.0, 18340, 18457, 18398, 0.6434569247546347, 0.6325513355366528, 0.6358299815197304
"r", 5, 64, 3, 100, 11, "24/07/2019 12:24:01", 1563963841.12, 1.0, 18340, 18457, 18398, 0.7988004362050164, 0.7729858590236767, 0.7748124796173497
"s", 5, 128, 3, 100, 12, "24/07/2019 12:24:17", 1563963857.3, 1.0, 18340, 18457, 18398, 0.6941657579062159, 0.6793628433656608, 0.6817045331014241
"p", 5, 16, 3, 100, 8, "24/07/2019 12:24:22", 1563963862.3, 1.0, 18340, 18457, 18398, 0.8276990185387132, 0.7959039930649618, 0.7953581911077291
"q", 5, 32, 3, 100, 10, "24/07/2019 12:24:40", 1563963880.75, 1.0, 18340, 18457, 18398, 0.7853871319520175, 0.7598201224467681, 0.7638873790629416
"o", 5, 8, 3, 100, 6, "24/07/2019 12:25:00", 1563963900.56, 1.0, 18340, 18457, 18398, 0.8680479825517994, 0.8365389824998646, 0.8415045113599304
"t", 5, 256, 3, 100, 13, "24/07/2019 12:25:07", 1563963907.11, 1.0, 18340, 18457, 18398, 0.6615049073064341, 0.6522186704231457, 0.6517556256114795
"r", 5, 64, 3, 100, 12, "24/07/2019 12:25:15", 1563963915.55, 1.0, 18340, 18457, 18398, 0.8034896401308615, 0.7761282982066424, 0.7762800304380911
"s", 5, 128, 3, 100, 13, "24/07/2019 12:25:25", 1563963925.92, 1.0, 18340, 18457, 18398, 0.7158124318429662, 0.6940997995340521, 0.69893466681161
"q", 5, 32, 3, 100, 11, "24/07/2019 12:26:04", 1563963964.25, 1.0, 18340, 18457, 18398, 0.798691384950927, 0.7680554803055751, 0.7747581258832482
"p", 5, 16, 3, 100, 9, "24/07/2019 12:26:05", 1563963965.55, 1.0, 18340, 18457, 18398, 0.8374591057797165, 0.8046811507829008, 0.8095445157082292
"t", 5, 256, 3, 100, 14, "24/07/2019 12:26:16", 1563963976.25, 1.0, 18340, 18457, 18398, 0.673773173391494, 0.6602373083382999, 0.6614305902815524
"r", 5, 64, 3, 100, 13, "24/07/2019 12:26:29", 1563963989.39, 1.0, 18340, 18457, 18398, 0.8212104689203926, 0.7938451536002601, 0.7938906402869877
"s", 5, 128, 3, 100, 14, "24/07/2019 12:26:36", 1563963996.73, 1.0, 18340, 18457, 18398, 0.7229007633587786, 0.6995177981253725, 0.7039895640830525
"t", 5, 256, 3, 100, 15, "24/07/2019 12:27:24", 1563964044.84, 1.0, 18340, 18457, 18398, 0.7010905125408943, 0.685810261689332, 0.6849657571475161
"o", 5, 8, 3, 100, 7, "24/07/2019 12:27:29", 1563964049.32, 1.0, 18340, 18457, 18398, 0.8962922573609596, 0.8661212548084738, 0.8661811066420263
"q", 5, 32, 3, 100, 12, "24/07/2019 12:27:31", 1563964051.12, 1.0, 18340, 18457, 18398, 0.8219738276990185, 0.7936284336566073, 0.7963909120556583
"s", 5, 128, 3, 100, 15, "24/07/2019 12:27:43", 1563964063.01, 1.0, 18340, 18457, 18398, 0.7299890948745911, 0.7080782358996587, 0.7126318078051962
"r", 5, 64, 3, 100, 14, "24/07/2019 12:27:46", 1563964066.75, 1.0, 18340, 18457, 18398, 0.8170665212649946, 0.7868559354174568, 0.7876399608653114
"p", 5, 16, 3, 100, 10, "24/07/2019 12:27:51", 1563964071.2, 1.0, 18340, 18457, 18398, 0.8625954198473282, 0.8311209839085442, 0.8297097510598979
"t", 5, 256, 3, 100, 16, "24/07/2019 12:28:33", 1563964113.95, 1.0, 18340, 18457, 18398, 0.7073064340239913, 0.6898737606328222, 0.6914338515055984
"q", 5, 32, 3, 100, 13, "24/07/2019 12:28:53", 1563964133.78, 1.0, 18340, 18457, 18398, 0.8309160305343511, 0.8040851709378556, 0.8055766931188173
"s", 5, 128, 3, 100, 16, "24/07/2019 12:28:54", 1563964134.24, 1.0, 18340, 18457, 18398, 0.7291166848418756, 0.708186595871485, 0.7130666376780085
"r", 5, 64, 3, 100, 15, "24/07/2019 12:29:02", 1563964142.54, 1.0, 18340, 18457, 18398, 0.828298800436205, 0.8017012515576746, 0.8008479182519839
"p", 5, 16, 3, 100, 11, "24/07/2019 12:29:37", 1563964177.82, 1.0, 18340, 18457, 18398, 0.8808069792802617, 0.8479709595275505, 0.8485704967931297
"t", 5, 256, 3, 100, 17, "24/07/2019 12:29:41", 1563964181.23, 1.0, 18340, 18457, 18398, 0.7000545256270447, 0.6809882429430568, 0.6825198391129471
"o", 5, 8, 3, 100, 8, "24/07/2019 12:29:55", 1563964195.36, 1.0, 18340, 18457, 18398, 0.9095965103598691, 0.8857885896949667, 0.884715729970649
"s", 5, 128, 3, 100, 17, "24/07/2019 12:30:05", 1563964205.61, 1.0, 18340, 18457, 18398, 0.7309705561613958, 0.7110581351248849, 0.7142624198282422
"r", 5, 64, 3, 100, 16, "24/07/2019 12:30:14", 1563964214.5, 1.0, 18340, 18457, 18398, 0.8525627044711014, 0.8216394863737335, 0.8223719969561909
"q", 5, 32, 3, 100, 14, "24/07/2019 12:30:16", 1563964216.48, 1.0, 18340, 18457, 18398, 0.8478735005452562, 0.8149211681204963, 0.815849548864007
"t", 5, 256, 3, 100, 18, "24/07/2019 12:30:52", 1563964252.91, 1.0, 18340, 18457, 18398, 0.7235550708833152, 0.7046107168012137, 0.7037177954125449
"s", 5, 128, 3, 100, 18, "24/07/2019 12:31:17", 1563964277.19, 1.0, 18340, 18457, 18398, 0.7256270447110141, 0.7041230969279948, 0.7065441895858245
